timestamp,service,message,attack_type
25012025 05:25:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,ftp,/dionaea/ftp.py:235: cmd 'b'SYST'',FTP Attack
25012025 05:25:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:54,ftp,/dionaea/ftp.py:235: cmd 'b'STAT'',FTP Attack
25012025 05:25:54,ftp,/dionaea/ftp.py:235: cmd 'b'QUIT'',FTP Attack
25012025 05:25:54,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack
25012025 05:25:55,ftp,/dionaea/ftp.py:235: cmd 'b'QUIT'',FTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,ftp,/dionaea/ftp.py:235: cmd 'b'PASV'',FTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:55,ftp,/dionaea/ftp.py:235: cmd 'b'QUIT'',FTP Attack
25012025 05:25:56,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:56,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:57,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:58,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:25:58,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:02,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:10,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:19,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:27,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:36,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:26:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:27:01,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:27:09,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:27:10,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack
25012025 05:27:10,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:27:10,ftp,/dionaea/ftp.py:235: cmd 'b'QUIT'',FTP Attack
25012025 05:27:10,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:27:10,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:27:10,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:27:10,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:27:10,ftp,"/dionaea/ftp.py:235: cmd 'b""\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03Dx\x97\x00h\xfcd'o\xd9\xbc\xae\xe7\xe9<\xce<\xc1FU~\xd6\xcdo\xdcM\xa1m\x93\xda\x14k""'",FTP Attack
25012025 05:27:11,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:27:11,ftp,"/dionaea/ftp.py:235: cmd 'b'\x16\x03\x01\x00W\x01\x00\x00S\x03\x03g\x94v-2\xaby+<\xb1\x88\xbc\xe8\x13\xac\xf4\xd3\xcb,<7D)\x1f\x85\xec\xa6''",FTP Attack
25012025 05:27:12,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 05:27:12,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:29:58,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 05:41:20,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 06:02:54,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 06:02:55,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 06:49:39,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 06:57:06,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 06:59:28,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack
25012025 06:59:29,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack
25012025 06:59:29,ftp,/dionaea/ftp.py:235: cmd 'b'OPTS'',FTP Attack
25012025 06:59:29,ftp,/dionaea/ftp.py:235: cmd 'b'PWD'',FTP Attack
25012025 06:59:29,ftp,/dionaea/ftp.py:235: cmd 'b'TYPE'',FTP Attack
25012025 07:03:26,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:27:54,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:27:55,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:27:56,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:27:57,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:27:58,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:27:59,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:27:59,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:28:00,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 07:28:28,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:29:01,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:29:35,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:30:08,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:30:41,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:31:14,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:31:47,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:32:20,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 07:32:53,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 08:11:21,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:18:19,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:21:17,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:25:35,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:29:49,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:33:17,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 08:36:51,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:38:28,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 08:47:20,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:02:05,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:30:07,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:43:37,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:49:10,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:54:09,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:56:32,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 09:58:02,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:12:27,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:21:07,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:24:59,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:25:05,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:25:06,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:25:07,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:32:59,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 10:40:10,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 11:05:33,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 11:09:04,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 11:20:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 11:24:28,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 11:32:40,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 11:57:38,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 11:57:38,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 11:57:38,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 12:01:43,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:01:57,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:05:08,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:35:38,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:47:44,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 12:47:53,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 12:49:51,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:56:43,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:56:43,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 12:57:21,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 12:59:29,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 13:19:02,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 13:54:33,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack
25012025 13:54:33,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack
25012025 13:54:33,ftp,/dionaea/ftp.py:235: cmd 'b'OPTS'',FTP Attack
25012025 13:54:33,ftp,/dionaea/ftp.py:235: cmd 'b'PWD'',FTP Attack
25012025 13:54:33,ftp,/dionaea/ftp.py:235: cmd 'b'TYPE'',FTP Attack
25012025 14:09:57,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 14:10:01,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 14:21:58,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 14:25:38,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 14:45:38,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 14:51:13,ftp,/dionaea/ftp.py:235: cmd 'b'MGLNDD_13.60.174.138_21'',FTP Attack
25012025 14:54:05,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:00:46,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:06:34,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:10:14,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:12:39,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:24:01,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack
25012025 15:26:16,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:43:13,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 15:57:57,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:04:31,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:04:31,http,/dionaea/http.py:699: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:14:08,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:26:52,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:46:29,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:46:42,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:46:43,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 16:46:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 17:01:11,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 17:01:12,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 17:18:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 17:22:14,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 18:05:27,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 18:12:46,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 18:12:49,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:12:51,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:12:54,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:12:54,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:12:55,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:12:58,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:12:59,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:13:00,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:13:06,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:13:09,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 18:13:48,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 18:13:53,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 18:35:10,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 19:11:41,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 19:17:25,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 19:49:35,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 20:00:25,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 20:00:28,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 20:05:27,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 20:28:52,ftp,/dionaea/ftp.py:235: cmd 'b'USER'',FTP Attack
25012025 20:28:52,ftp,/dionaea/ftp.py:235: cmd 'b'PASS'',FTP Attack
25012025 20:28:52,ftp,/dionaea/ftp.py:235: cmd 'b'TYPE'',FTP Attack
25012025 20:29:17,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 20:32:07,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 20:41:58,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 20:59:05,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
25012025 21:25:20,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 21:28:38,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 21:50:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 22:31:31,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 22:36:47,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 22:38:21,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 22:52:38,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:00:22,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:05:47,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:05:47,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:00,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:02,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:03,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:09:04,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:23:06,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:35:45,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:45:04,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
25012025 23:56:00,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
26012025 00:00:57,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
26012025 00:27:15,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:33:03,log_sqlite,/dionaea/logsql.py:747: no attackid for 172.17.0.2:443,Log_SQLite Attack
26012025 00:47:36,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack
26012025 00:47:36,ftp,/dionaea/ftp.py:235: cmd 'b'AUTH'',FTP Attack
26012025 00:52:26,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
26012025 01:05:19,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
26012025 01:05:19,http,/dionaea/http.py:133: max_num_fields is only supported with Python >= 3.8,HTTP Attack
